Time_integration Time_hrs SNR
27 0.011944623256567866 34.50393739603479
133 0.05897319281939417 8.122499099702283
363 0.16114138858392835 20.356731416829657
369 0.1638080533593893 30.405885096379578
370 0.16425249818712473 12.089765432244215
371 0.1646969779394567 13.757102115533266
372 0.16514152439776808 10.134185435933766
373 0.16558597201947123 14.373360711900602
374 0.1660304144024849 373.18161674890166
375 0.16647485923022032 21.39948638755559
376 0.16691930423257872 19.54827730999485
377 0.16736374679021537 19.324587023337006
378 0.16780819406267256 19.992165938337443
379 0.1682526366203092 19.57134864328726
380 0.16869708144804463 19.1534471484146
381 0.16914152645040303 19.294217851424722
382 0.1695859688334167 19.896728451815935
383 0.17003041645511985 19.964166078560545
384 0.17047485883813351 19.30394681707626
385 0.1708915267372504 19.972200574410895
386 0.1713081921916455 11.71323418758368
387 0.17175263701938093 10.201010944010346
388 0.17219708202173933 17.077978297300355
389 0.17264152457937598 17.48935718490306
390 0.17308597185183316 17.579009517606657
391 0.1735304316971451 18.843806673191892
392 0.17397499806247652 17.137712236076517
393 0.17441944306483492 17.022707723573042
394 0.17486388562247157 17.187020967166056
395 0.17530833289492875 17.037488565283773
396 0.1757527754525654 16.768730726579623
397 0.17619722028030083 16.981349241960682
398 0.17664166528265923 14.484650469023547
399 0.1770861076656729 5.6175819937976055
404 0.1793083300581202 6.717005958299823
416 0.1846418033237569 6.1590487370643805
454 0.20147541485494003 8.715075522612615
479 0.21258666476933286 11.855434784250521
492 0.2183644440374337 15.927820586245195
499 0.22147569264052436 8.137717848019243
502 0.22280902764759958 5.230476370373547
503 0.22325347003061324 78.80106113924757
504 0.22369791485834867 5462.906094727629
505 0.22414235986070707 122.54866609762902
506 0.22458680241834372 6.714519570486315
511 0.22680902446154505 20.02679127742684
512 0.2272534720832482 9.847485988127504
513 0.22769801854155958 6.132618133268753
514 0.22814249811926857 7.900132185773155
515 0.22858694312162697 17.56378004704651
516 0.22903138550464064 521.4464483072068
517 0.2294758331263438 6452.115142361391
518 0.22992027550935745 52.61902915149575
519 0.23036472033709288 5.027163205306032
520 0.23080916533945128 5.079018592288384
524 0.2325869425549172 3572.1024805622046
525 0.2330313875572756 5.199760365778331
526 0.23347582994028926 9.34841472007006
527 0.2339202775619924 17.405977658705993
528 0.23436471994500607 50.666177818477955
529 0.2348091647727415 6369.717091509489
530 0.2352536097750999 81.58317334753342
531 0.23575360933318734 14.489777525150139
536 0.23803152632899582 15.370245668209353
537 0.2384759687120095 8.730032917085687
539 0.2393648587167263 5.361346683826255
540 0.2398093037190847 43.20680933952629
541 0.24025374854682013 6957.33950281889
542 0.24069819110445678 1035.8039559853903
543 0.24114263837691396 5.058469112768064
651 0.28903221868677065 5.158754817162845
652 0.2894766661338508 5.8935758322885485
653 0.2898933296673931 86.19312345453235
654 0.29033777659060434 9224.703151113743
655 0.2907823392888531 50.87717896114322
656 0.29122680315049365 12.06187085783561
662 0.29386569309281185 95.01746817447581
665 0.29519902548054233 5.506750256030628
