Time_integration Time_hrs Satellite_index angular_distance  Satellite_range
6886 3.0571583323180676 [104] [0.07254073] [2010.34165533] 
6911 3.068241804256104 [69] [0.03880016] [2027.56408092] 
6973 3.0959088876843452 [356] [0.02112362] [1977.040486] 
7023 3.118131526687648 [69] [0.04074212] [1342.47123609] 
7048 3.129187222570181 [532] [0.05971717] [1849.44956025] 
7073 3.1402984728338197 [32] [0.06395547] [2014.30749831] 
7086 3.146076388307847 [41] [0.06772409] [2008.98253733] 
7261 3.2237441641045734 [44] [0.00840947] [2007.4919182] 
7323 3.2514112503267825 [411] [0.055444] [1979.69409493] 
7361 3.268244859413244 [48] [0.04068922] [1892.31960123] 
7386 3.279356248327531 [529] [0.04430067] [1947.07453594] 
7436 3.3015231915051118 [517] [0.0077154] [2001.86061795] 
7461 3.3125788875622675 [529] [0.03777839] [1529.29411134] 
7511 3.3348015263909474 [417] [0.03605056] [1573.00228624] 
7524 3.3405237491824664 [61] [0.06572345] [1994.34797925] 
7536 3.345857222448103 [25] [0.07052294] [1782.20973721] 
7599 3.3736909709405154 [10] [0.03067733] [1852.77392715] 
7637 3.3905245826463215 [38] [0.07809825] [1790.4431918] 
7662 3.4015802759095095 [60] [0.03734779] [1939.67034279] 
7699 3.418136109597981 [63] [0.02191956] [1992.42778597] 
7737 3.4349141648272052 [7] [0.04315081] [2010.31669153] 
7762 3.446025414741598 [527] [0.04866351] [1820.45207539] 
7787 3.457081108004786 [43] [0.0461007] [1986.86072006] 
7812 3.468136943061836 [43] [0.02682216] [1787.7006655] 
7837 3.479192638944369 [238] [0.07209941] [1965.51277304] 
7862 3.4903038888587616 [516] [0.06287553] [1961.46258397] 
7875 3.496081804682035 [70] [0.0651746] [1987.65753159] 
7887 3.5014151389477775 [70] [0.05654666] [1889.70097913] 
7900 3.507137498119846 [43] [0.07697011] [1281.29769153] 
7912 3.5127486448036507 [23] [0.07782357] [1969.9882707] 
7949 3.5291933332337067 [232] [0.07442932] [1921.99239247] 
7974 3.5403047221479937 [58] [0.05638057] [1889.73882894] 
7987 3.546082498971373 [36] [0.07277908] [2028.51811301] 
8012 3.5571937488857657 [36] [0.07819667] [1867.24841075] 
8074 3.584805276186671 [31] [0.02667913] [2010.6677135] 
8099 3.595916664926335 [526] [0.02892513] [1939.35376011] 
8149 3.6180836110725068 [405] [0.06457516] [2000.13940641] 
8224 3.6514174999902025 [13] [0.05259705] [2006.85225667] 
8237 3.6571398242376745 [19] [0.06865601] [1337.37357081] 
8249 3.6625287499045953 [392] [0.05970138] [1987.73287807] 
8324 3.695862638647668 [394] [0.0742298] [1747.25761989] 
8362 3.7126406914321706 [513] [0.00775249] [1628.91890839] 
8387 3.7237519413465634 [397] [0.00828847] [1648.444879] 
8412 3.734807637054473 [391] [0.02569798] [2032.55866962] 
8462 3.757141386740841 [64] [0.04593841] [1931.80789823] 
8487 3.768197080004029 [24] [0.00499323] [2024.68139386] 
8512 3.779308329918422 [2] [0.00742472] [1717.91247462] 
8562 3.8014754148898646 [24] [0.04057793] [1490.78962671] 
8587 3.8125311105977744 [521] [0.05695645] [1945.02091972] 
8600 3.8183088874211535 [421] [0.07341158] [1905.53294132] 
8650 3.8404204132966697 [521] [0.00750656] [1507.31453619] 
8675 3.8514761091792025 [51] [0.02664204] [1952.14163123] 
8700 3.8625873592682183 [421] [0.04973318] [1416.59687889] 
8750 3.884809997922275 [408] [0.0434683] [1519.95692156] 
8775 3.895865694154054 [360] [0.06290119] [1859.35807316] 
8850 3.9292551371036097 [42] [0.02732771] [1968.53691491] 
8875 3.9404774975264445 [220] [0.05378849] [1668.34244508] 
8925 3.9626444407040253 [220] [0.00461976] [1903.20167536] 
8950 3.9737558299675584 [393] [0.00648846] [1397.8839809] 
9113 4.046034719736781 [402] [0.03487035] [1943.01616621] 
9163 4.068201662914362 [402] [0.00416713] [1591.36472854] 
9188 4.079424026305787 [410] [0.06182117] [2021.34159859] 
9263 4.112702358572278 [410] [0.05331638] [1499.7974152] 
9288 4.123758052010089 [589] [0.00536666] [1314.47213635] 
9338 4.145925136806909 [234] [0.04549442] [1568.10752828] 
9363 4.156980832689442 [396] [0.05567808] [2018.1725101] 
9476 4.207148330518976 [65] [0.06436174] [1982.0230768] 
9501 4.218231801583897 [369] [0.03296539] [1413.85655491] 
9551 4.240370969928335 [236] [0.05138858] [1460.24506308] 
9626 4.273815969354473 [415] [0.03070804] [2010.25956599] 
9651 4.284871662617661 [247] [0.00202805] [1403.77763209] 
9676 4.2959829128813 [399] [0.0028566] [1258.90106185] 
9701 4.307094301620964 [501] [0.00224807] [1701.90973173] 
9726 4.318205551535357 [247] [0.00191648] [1722.1243316] 
9776 4.340455829165876 [413] [0.02375316] [1541.76507253] 
9801 4.3515394404530525 [419] [0.00061193] [2003.63531002] 
9826 4.362650690716691 [47] [0.01310507] [1560.18381832] 
9851 4.373706386424601 [413] [0.06440602] [1246.74741036] 
9876 4.384817636338994 [0] [0.0594406] [1351.44855417] 
9901 4.395929025427904 [407] [0.03006436] [1896.44089466] 
9976 4.4293183292029426 [400] [0.00075187] [2000.50911568] 
10001 4.44045749574434 [407] [0.03217365] [1290.70949371] 
10026 4.4515409680316225 [407] [0.03030025] [1238.72876927] 
10051 4.462652217946015 [223] [0.0004435] [1554.0570212] 
10076 4.473763468209654 [223] [0.00031463] [1708.60930931] 
10101 4.484819164092187 [224] [0.06305031] [1305.71612359] 
10126 4.495930552831851 [11] [0.03418817] [1541.02113822] 
10151 4.50704180309549 [8] [0.02887952] [2003.84623159] 
10176 4.518153053009883 [463] [0.0407228] [1942.97813025] 
10251 4.551542495959438 [534] [0.00060368] [1731.83723416] 
10276 4.562598191667348 [230] [0.06575251] [1282.7858616] 
10326 4.584931941353716 [21] [0.02888461] [2009.57351617] 
10351 4.596043191268109 [483] [0.04142503] [1903.34565683] 
10376 4.607098884531297 [40] [6.3133083e-05] [1641.85534896] 
10401 4.618210134794936 [21] [0.00148424] [1468.91860905] 
10451 4.640377219417132 [585] [0.05416635] [1925.16685579] 
10501 4.662599719420541 [16] [0.02963419] [2018.49646203] 
10576 4.695878054306377 [241] [0.06113643] [1972.10480132] 
10589 4.701600413303822 [35] [0.02776169] [2023.30424068] 
10614 4.712711663218215 [484] [0.04127499] [1836.57298929] 
10639 4.723767356830649 [595] [0.01491495] [981.99927382] 
10664 4.734823052713182 [228] [0.0713184] [1228.69819932] 
10689 4.745934302627575 [474] [0.0472179] [1778.4779513] 
10714 4.757156802224927 [20] [0.03561367] [1738.94554029] 
10739 4.7682680521393195 [228] [0.04550694] [1477.60426101] 
10764 4.779379302053712 [398] [0.02857463] [1990.62409047] 
10814 4.801601941057015 [34] [0.04426064] [1713.88208497] 
10839 4.812657634494826 [398] [0.00380248] [1470.14951248] 
11027 4.896075552504044 [465] [0.07599272] [1659.59618283] 
11052 4.907159024267457 [9] [0.05334122] [1354.39503903] 
11089 4.923714857955929 [12] [0.04783886] [1618.95164479] 
11152 4.951659719576128 [244] [0.06924989] [1975.81304452] 
11227 4.984938052017242 [242] [0.03423209] [1671.34690269] 
11252 4.996104858408216 [29] [0.04018479] [1722.33998463] 
11277 5.007160656270571 [496] [0.0144813] [1569.21501704] 
11314 5.023660831851885 [26] [0.0695558] [1923.13180442] 
11327 5.029438747325912 [41] [0.07602054] [1988.25136845] 
11377 5.051661247329321 [1] [0.05595735] [1955.91889031] 
11402 5.062717079592403 [216] [0.04939047] [1344.53843925] 
11489 5.101523190562148 [216] [0.01864403] [1938.3535031] 
11539 5.123717913462315 [6] [0.03566806] [1980.4189385] 
11802 5.240441939444281 [460] [0.06414739] [1475.19410283] 
11827 5.251664441311732 [227] [0.06477802] [1922.25961636] 
11852 5.262720135098789 [7] [0.02872651] [1934.71986877] 
11927 5.29594291333342 [600] [0.05118042] [1642.3104181] 
12052 5.351443747873418 [478] [0.07481281] [1882.62461676] 
12165 5.401611106877681 [232] [0.0254819] [1913.28344037] 
12227 5.429278190829791 [476] [0.04132309] [1877.74191832] 
12277 5.451445275801234 [246] [0.070655] [1905.86707265] 
12315 5.468278884538449 [222] [0.0417413] [1433.31556634] 
12340 5.479390134802088 [17] [0.03412202] [1751.74386833] 
12490 5.546057773462962 [183] [0.03031991] [1988.04127921] 
12515 5.5571691623772494 [219] [0.04551554] [1372.2387368] 
12540 5.568252633442171 [586] [0.0113029] [1945.637294] 
12577 5.584891800186597 [219] [0.01015908] [1661.68013733] 
12777 5.673726523818914 [590] [0.07810146] [1240.26295008] 
12827 5.695949026441667 [5] [0.05651086] [1812.44364814] 
12852 5.70706027635606 [408] [0.04730529] [1982.0505073] 
12927 5.740394165273756 [201] [0.05809089] [1782.74412895] 
12977 5.762727812980302 [607] [0.03412817] [1747.01147813] 
13027 5.784950417059008 [470] [0.03687247] [1428.03751513] 
13052 5.796061666973401 [488] [0.04819602] [1206.74948537] 
13077 5.80717291723704 [218] [0.03923313] [1480.94653411] 
13102 5.818228749500122 [182] [0.01019937] [1998.13608077] 
13127 5.829395555891097 [488] [0.03199731] [1509.81167081] 
